cpu_temp,temp_h,temp_p,humidity,pressure,mag_x,mag_y,mag_z,timestamp

58.5,32.53416061401367,30.12708282470703,51.413002014160156,1000.298583984375,-31.85365104675293,-12.56986141204834,23.358814239501953,2017-06-30 09:07:18.947840

58.0,32.711666107177734,30.274999618530273,50.83446502685547,1000.27783203125,-32.11513137817383,-12.478310585021973,23.15787696838379,2017-06-30 09:07:29.068388

54.2,32.800418853759766,30.429166793823242,49.684627532958984,1000.229248046875,-32.072391510009766,-12.572309494018555,23.045921325683594,2017-06-30 09:07:39.165002

54.2,32.942420959472656,30.5625,49.88349914550781,1000.22998046875,-32.257266998291016,-12.621902465820312,22.99399757385254,2017-06-30 09:07:49.270918

52.6,33.19093322753906,30.712499618530273,50.05706024169922,1000.234619140625,-32.16200637817383,-12.416913032531738,22.87755012512207,2017-06-30 09:07:59.372419

54.2,33.29743576049805,30.856250762939453,49.85095977783203,1000.22705078125,-32.210411071777344,-12.342146873474121,23.062509536743164,2017-06-30 09:08:09.459923

52.6,33.421688079833984,30.991666793823242,49.684627532958984,1000.1767578125,-32.21643829345703,-12.26508903503418,22.94956398010254,2017-06-30 09:08:19.558031

54.8,33.581443786621094,31.116666793823242,48.827674865722656,1000.190185546875,-32.19597625732422,-12.35656452178955,23.050500869750977,2017-06-30 09:08:29.632665

52.6,33.7056999206543,31.245834350585938,48.92168426513672,1000.19677734375,-32.1458854675293,-12.361542701721191,22.78942108154297,2017-06-30 09:08:39.735253

52.6,33.776702880859375,31.383333206176758,51.1381950378418,1000.179931640625,-31.968847274780273,-12.266531944274902,22.726726531982422,2017-06-30 09:08:49.835609

52.1,33.918704986572266,31.504165649414062,48.77705383300781,1000.146484375,-31.74197006225586,-12.089607238769531,22.447126388549805,2017-06-30 09:08:59.943831

53.7,33.989707946777344,31.620834350585938,48.23106384277344,1000.1943359375,-31.684951782226562,-12.109912872314453,22.295475006103516,2017-06-30 09:09:10.044757

52.6,34.14946365356445,31.741666793823242,47.69953155517578,1000.191650390625,-31.64199447631836,-12.317727088928223,22.174819946289062,2017-06-30 09:09:20.157836

54.2,34.34471893310547,31.87291717529297,46.726871490478516,1000.2451171875,-31.810056686401367,-12.239107131958008,22.204578399658203,2017-06-30 09:09:30.235397

53.2,34.326969146728516,31.975000381469727,46.96913146972656,1000.256103515625,-31.66041374206543,-12.185869216918945,22.19523811340332,2017-06-30 09:09:40.313888

